key_mlbam,name_first,name_last
NA,Taylor,Bruninga
541626,Elias,De Leon
693734,Christopher,Dishmey
670706,Daniel,Martinez
445002,Sean,Cunningham
687775,Brandon,Walker
825690,Raphy,Gil
650368,Rachid,Engelhardt
NA,Michael,Leach
NA,Naomasa,Yohkawa
813554,Gage,Gillott
NA,Jacob,Kowes
667521,Johnny,Rizer
663889,Satchel,McElroy
813686,Donovan,Ratfield
543722,Pat,Rose
672415,Raymells,Rosa
NA,Rupert,Watson
NA,Cameron,Burleyson
NA,Kevin,McCormick
NA,Joshua,Profit
682733,Wilton,Perez
570806,Miguel,Guzman
815042,Nate,Brittain
459322,Brian,Stavisky
672762,Edwin,Bisay
NA,Nat,Thomas
518672,Casey,Feickert
693536,Jacknell,Guzman
644428,Troy,Scribner
NA,Tyler,Marshburn
827891,Fernándo,Ramos
450281,Sam,Orr
NA,Konner,Dodge
467093,Philip,Wilkins
439899,Rick,Elder
807738,Colin,Barczi
605380,Kewby,Meyer
642369,Junior,Reyes
470200,Juan,Lachapel
NA,Cole,Parks
673749,Jesus,Rosario
488966,Travis,Hill
664040,Brandon,Lowe
NA,Davide,Boselli
NA,Daniel,Blake
657715,Jacob,Petersen
572940,Anthony,Hutting
NA,Ryan,Buckland
688305,Nick,Ohanian
452785,Ben,Foster
593940,Elias,Villasana
605448,Bradley,Roney
814835,Jaden,Alba
446542,Broc,Coffman
446266,Andres,Esquibel
NA,Shane,Gipson
599672,Tom,Edwards
NA,Shuichiro,Hikiji
678627,Deivi,Estrada
NA,Jacob,Hulcher
688538,Jack,Sauser
812436,Evan,Minarovic
608034,Michael,Flores
NA,Chris,Kaminski
681530,Justin,Lutes
518883,Dean,Kiekhefer
571723,Micah,Green
808863,Jack,Whitlock
665984,Edison,Suriel
660213,Wes,Patterson
684243,Ryan,Smith
679779,Jordan,Cannon
471038,Jesus,Perez
NA,Zheng,Chaoqun
NA,Taylor,Downey
596001,Jakob,Junis
823285,Reece,Tarini
662107,Brian,Glowicki
NA,Sasha,Jabusch
NA,Yohan,Hernández
700806,Haven,Mangrum
805917,Gage,Adams
681747,Christopher,Duran
NA,Jared,Hibbeln
802573,Luis,Barrera
694127,P. J.,Rousey
NA,James,Lopresti
593576,Héctor,Neris
703672,Max,Ortega
642617,Salvador,Justo
688262,Santino,Miozzi
NA,Kenji,Lamdin
821291,Matthew,Keller
NA,Quinlan,Sweany
NA,Yuito,Tanigawa
681855,Michael,Emodi
NA,Connor,Golden
NA,Moisés,Esquerres
467092,Wilson,Ramos
800086,Emmanuel,Martinez
457456,Jo-Jo,Reyes
685321,Gabe,Bierman
NA,Roman,Samson
657248,Glenn,Otto
NA,MarkAnthony,Kirton
572837,Austin,Evans
NA,Chris,Piteo
458583,Adam,Burton
674039,Doug,Nimura
543502,Timothy,Matthews
599648,Josh,Cakebread
670279,Austin,O'Banion
457574,Jordan,Pacheco
NA,Brett,van Pelt
703186,Jarlin,Susana
669937,Tyler,Dyson
NA,Tanner,Kim
473718,Ricardo,Pecina
808323,Keeler,Morfe
685487,Kan,Otake
NA,Nick,Niarchos
669329,Sean,Keating
470335,Brett,Baker
NA,Dylan,Gibeau
NA,Yuudai,Yamamoto
815328,Abiel,Amador
543744,Josh,Satin
NA,Andrea,Salati
452747,Matt,Zaleski
NA,Clay,Thompson
543682,Miles,Reagan
NA,Daniel,Arthur
NA,Bryce,Bellin
806067,James,Ellwanger
451472,Manny,Tejada
695608,Gabe,D'Arcy
NA,Logan,McLaughlin
NA,Jayden,Mohamed
NA,Jaiden,France
NA,Caleb,Robinson
458167,Kyle,Broussard
543153,Kevin,Ferguson
493634,Rip,Warren
NA,Nick,Enciso
NA,Blake,Vineyard
NA,Mattia,Peluso
NA,Jason,Cryar
NA,Katsunori,Hirai
NA,Max,Fishbein
502522,Justin,Miller
NA,Matt,Rubino
NA,Carlos,Rodriguez
445926,Jesse,Chavez
824183,Grant,Scholzen
NA,Woo Sung,Lee
553857,Jesus,Barreto
NA,Eric,Van Allen
695745,Edgardo,Villegas
NA,Chance,Sharp
675981,Joe,Gobillot
NA,Alexander,Moraitis
NA,Chao Wei,Yu
NA,Colin,Brodeur
801911,Ryan,Carr
450627,Mike,Muscato
451109,Brett,Hayes
673067,Ryoto,Yoshikoshi
445482,William,Hall
NA,Brody,Santilli
671129,Tyler,Ahearn
666933,Cameron,Ming
680234,Trey,Lowe
809926,Charlie,Welch
681838,Dallas,Litscher
464976,Manuel,Pichardo
696100,Hunter,Goodman
676275,Blake,Beers
NA,Jae Gyu,Hwang
NA,Tomas,Canuti
622809,Juan,Perez
NA,Anthony,Torres
NA,Myeung Su,Shin
NA,Luke,Bowerbank
643333,Nate,Goro
694387,Christian,Knapczyk
642214,Ivan,Wilson
828380,Zane,Danielson
NA,Blane,Zeplin
802389,Isaias,Felix
NA,Nolan,Milliman
NA,Jackson,Bradfield
822561,Braden,Wauschek
699184,Tyler,Kotsis
NA,Trey,McDaniel
NA,Doug,Propson
677128,Wilton,Sanchez
NA,Jong-Seong,Kim
NA,Herschel,Knox
681341,Jimmy,Sullivan
469710,Luis,Cordova
657732,Kelvin,Ramos
623376,Alexi,Colon
686543,Blake,Deatherage
NA,Nash,Jamison
607199,Connor,Burke
676147,Conner,Thurman
NA,Pedro,Astacio
NA,Akira,Yagi
807163,Marek,Krejcirik
543061,Jordan,Craft
450302,Glenn,Swanson
NA,Darryl,Johnson
NA,Ethan,Dufresne
684426,Elijah,Boyer
NA,Will,Conroy
NA,Dylan,Chisholm
502537,Christopher,Krawczyk
547920,Marco,Costantini
699298,Isaac,Lechuga
NA,Virot,Siharath
700956,Tyler,Hoffman
458560,Jason,Paul
NA,Joon-Hyeong,Lee
NA,Yuta,Izuguchi
693803,Layonel,Ovalles
458909,Jason,Ramos
814276,Anthony,Pena
692023,Adrian,Perez
NA,Miguel,Salgado
680846,Pablo,Aliendo
821245,Rubens,Romero
492831,Jose,Burdier
NA,Chad,Sikes
814911,Hans,Chacon
NA,Yandri,Lestapier
811697,Tanner,Perry
NA,Nick,DiEva
469191,Carlos,Teller
456394,Estee,Harris
608337,Lucas,Giolito
477478,Jesus,Lopez
664122,Alex,Cunningham
806642,Ramon,Suarez
642447,Henry,Alvarado
623250,Mitch,Delfino
658668,Edward,Olivares
466371,Leonardo,Espinal
670708,Eric,Diomartich
544363,Michael,Tomoleoni
627387,Hugo,Kanabushi
465742,Dushan,Ruzic
822956,Jack,Martinez
672619,Luis,Perez
NA,Joe,Landi
NA,Jarrett,Martin
815939,Jodainy,Henriquez
809319,Myles,White
688820,Matt,Smithwick
NA,Jackson,Sioson
650623,Melvyn,Forbes
NA,Jesse,Rait
NA,Michael,Deluca
NA,Zach,Klein
NA,Dainiel,López
NA,Sheehan,O'Connor
690800,Ryan,Connolly
NA,Nate,Green
667540,David,Edwards
823049,Will,Goldberg
464873,Laumin,Bessa
674372,Osvaldo,Hernandez
660724,Jose,Tapia
NA,Taylor,Duree
669238,Joven,Afenir
NA,Alessandro,Arrais
NA,Steven,Kremer
468476,Ronald,Uviedo
NA,Yuri,Bocciolini
667229,Wandy,Soto
542685,Diego,De La Cruz
682507,Jared,Skolnicki
465092,Nelson,Sinfonte
822099,Chance,Jackson
666847,Jose,Roca
682075,Ian,Dawkins
470415,Thomas,Porter
NA,Chen Nan,Li
622599,Francis,Jesus
518818,Deryk,Hooker
681956,Jett,Manning
NA,Marcus,Wohl
